time,vertical
11.409,-0.145
11.443,-0.144
11.476,-0.141
11.51,-0.135
11.544,-0.127
11.578,-0.117
11.611,-0.105
11.645,-9.25E-02
11.679,-7.85E-02
11.713,-6.21E-02
11.746,-4.51E-02
11.78,-2.85E-02
11.814,-1.13E-02
11.848,6.92E-03
11.882,2.49E-02
11.915,4.14E-02
11.949,5.75E-02
11.983,7.35E-02
12.017,8.73E-02
12.05,0.1
12.084,0.111
12.118,0.12
12.152,0.128
12.185,0.132
12.219,0.136
12.253,0.137
12.287,0.135
12.32,0.131
12.354,0.125
12.388,0.116
12.422,0.106
12.455,9.36E-02
12.489,7.97E-02
12.523,6.45E-02
12.557,4.90E-02
12.59,3.11E-02
12.624,1.38E-02
12.658,-3.16E-03
12.692,-2.14E-02
12.725,-3.77E-02
12.759,-5.45E-02
12.793,-6.96E-02
12.827,-8.34E-02
12.86,-9.60E-02
12.894,-0.107
12.928,-0.118
12.962,-0.124
12.995,-0.128
13.029,-0.13
13.063,-0.13
13.097,-0.127
13.13,-0.123
13.164,-0.118
13.198,-0.11
13.232,-9.98E-02
13.265,-8.86E-02
13.299,-7.58E-02
13.333,-6.22E-02
13.367,-4.71E-02
13.4,-3.15E-02
13.434,-1.59E-02
13.468,-2.93E-04
13.502,1.58E-02
13.535,3.14E-02
13.569,4.65E-02
13.603,6.02E-02
13.637,7.30E-02
13.67,8.48E-02
13.704,9.54E-02
13.738,0.104
13.772,0.112
13.805,0.117
13.839,0.12
13.873,0.121
13.907,0.12
13.941,0.117
13.974,0.112
14.008,0.105
14.042,9.67E-02
14.076,8.68E-02
14.109,7.46E-02
14.143,6.15E-02
14.177,4.73E-02
14.211,3.20E-02
14.244,1.60E-02
14.278,1.17E-04
14.312,-1.61E-02
14.346,-3.18E-02
14.379,-4.73E-02
14.413,-6.15E-02
14.447,-7.50E-02
14.481,-8.64E-02
14.514,-9.67E-02
14.548,-0.105
14.582,-0.112
14.616,-0.116
14.649,-0.119
14.683,-0.12
14.717,-0.119
14.751,-0.116
14.784,-0.111
14.818,-0.104
14.852,-9.57E-02
14.886,-8.57E-02
14.919,-7.44E-02
14.953,-6.20E-02
14.987,-4.85E-02
