time,vertical
43.577,-8.70E-03
43.611,-1.29E-02
43.644,-1.70E-02
43.678,-2.06E-02
43.712,-2.38E-02
43.746,-2.68E-02
43.779,-2.91E-02
43.813,-3.11E-02
43.847,-3.23E-02
43.881,-3.30E-02
43.914,-3.32E-02
43.948,-3.30E-02
43.982,-3.23E-02
44.016,-3.08E-02
44.049,-2.89E-02
44.083,-2.63E-02
44.117,-2.35E-02
44.151,-1.99E-02
44.184,-1.62E-02
44.218,-1.24E-02
44.252,-8.04E-03
44.286,-3.73E-03
44.319,8.20E-04
44.353,5.33E-03
44.387,9.87E-03
44.421,1.40E-02
44.454,1.81E-02
44.488,2.16E-02
44.522,2.50E-02
44.556,2.79E-02
44.589,3.04E-02
44.623,3.26E-02
44.657,3.43E-02
44.691,3.51E-02
44.724,3.55E-02
44.758,3.53E-02
44.792,3.45E-02
44.826,3.32E-02
44.859,3.12E-02
44.893,2.85E-02
44.927,2.54E-02
44.961,2.22E-02
44.994,1.83E-02
45.028,1.42E-02
45.062,1.01E-02
45.096,5.32E-03
45.129,1.27E-03
45.163,-3.19E-03
45.197,-7.38E-03
45.231,-1.16E-02
45.264,-1.52E-02
45.298,-1.92E-02
45.332,-2.22E-02
45.366,-2.48E-02
45.399,-2.71E-02
45.433,-2.89E-02
45.467,-3.01E-02
45.501,-3.07E-02
45.535,-3.09E-02
45.568,-3.06E-02
45.602,-2.98E-02
45.636,-2.86E-02
45.67,-2.67E-02
45.703,-2.42E-02
45.737,-2.16E-02
45.771,-1.83E-02
45.805,-1.50E-02
45.838,-1.11E-02
45.872,-7.05E-03
45.906,-3.09E-03
45.94,9.92E-04
45.973,5.36E-03
46.007,9.80E-03
46.041,1.31E-02
46.075,1.70E-02
46.108,2.03E-02
46.142,2.36E-02
46.176,2.62E-02
46.21,2.85E-02
46.243,3.04E-02
46.277,3.19E-02
46.311,3.28E-02
46.345,3.32E-02
46.378,3.30E-02
46.412,3.22E-02
46.446,3.08E-02
46.48,2.90E-02
46.513,2.63E-02
46.547,2.34E-02
46.581,2.01E-02
46.615,1.65E-02
46.648,1.25E-02
46.682,8.32E-03
46.716,4.31E-03
46.75,2.38E-04
46.783,-4.27E-03
46.817,-8.56E-03
46.851,-1.17E-02
46.885,-1.54E-02
46.918,-1.88E-02
46.952,-2.17E-02
46.986,-2.42E-02
47.02,-2.60E-02
47.053,-2.77E-02
47.087,-2.87E-02
47.121,-2.94E-02
47.155,-2.97E-02
47.188,-2.93E-02
47.222,-2.86E-02
47.256,-2.74E-02
47.29,-2.56E-02
47.323,-2.31E-02
47.357,-2.06E-02
47.391,-1.76E-02
47.425,-1.43E-02
47.459,-1.08E-02
47.492,-6.90E-03
47.526,-2.88E-03
47.56,1.00E-03
47.594,4.68E-03
47.627,8.37E-03
47.661,1.25E-02
47.695,1.63E-02
47.729,1.98E-02
47.762,2.28E-02
47.796,2.55E-02
47.83,2.77E-02
47.864,2.96E-02
47.897,3.08E-02
47.931,3.15E-02
47.965,3.18E-02
47.999,3.17E-02
48.032,3.10E-02
48.066,2.96E-02
48.1,2.79E-02
48.134,2.54E-02
48.167,2.26E-02
48.201,1.96E-02
48.235,1.63E-02
48.269,1.28E-02
48.302,8.61E-03
48.336,4.32E-03
48.37,2.32E-04
48.404,-3.56E-03
48.437,-6.76E-03
48.471,-1.08E-02
48.505,-1.45E-02
48.539,-1.77E-02
48.572,-2.06E-02
48.606,-2.28E-02
48.64,-2.47E-02
48.674,-2.63E-02
48.707,-2.73E-02
48.741,-2.80E-02
48.775,-2.77E-02
48.809,-2.73E-02
48.842,-2.65E-02
48.876,-2.52E-02
48.91,-2.34E-02
48.944,-2.13E-02
48.977,-1.85E-02
49.011,-1.56E-02
49.045,-1.26E-02
49.079,-9.40E-03
49.112,-6.08E-03
49.146,-2.17E-03
49.18,1.17E-03
49.214,4.96E-03
49.247,8.58E-03
49.281,1.18E-02
49.315,1.55E-02
49.349,1.81E-02
49.382,2.13E-02
49.416,2.38E-02
49.45,2.58E-02
49.484,2.74E-02
49.518,2.88E-02
49.551,2.94E-02
49.585,2.96E-02
49.619,2.94E-02
49.653,2.87E-02
49.686,2.73E-02
49.72,2.54E-02
49.754,2.32E-02
49.788,2.05E-02
49.821,1.76E-02
49.855,1.42E-02
49.889,1.05E-02
49.923,7.04E-03
49.956,3.52E-03
49.99,-4.73E-04
50.024,-4.34E-03
50.058,-7.92E-03
50.091,-1.11E-02
50.125,-1.46E-02
50.159,-1.72E-02
50.193,-1.99E-02
50.226,-2.24E-02
50.26,-2.44E-02
50.294,-2.56E-02
50.328,-2.64E-02
50.361,-2.69E-02
50.395,-2.71E-02
